Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256
Llama_haar_contiguous_feat_s64,,,,,,1.7194937896728515,,
Llama_mxfp4 (e2m1) + Squant,,,,,5.446381492614746,,,
