Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256
Qwen_ue5m3 + PZ + H,,0.2676412582397454,0.3891717910766594,0.5043689727783196,0.642546367645263,0.8033444404602044,1.0456916809082024,1.4655215263366692
Qwen_ue5m3 + 4o6 + H,,0.1861540794372551,0.3153545379638665,0.452548694610595,,,,
