Model,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256
Llama 3.1 8B,,0.9133688652038572,0.6272093498229978,,0.7891332351684568,,,1.1499492370605466
Granite 3.3 8B,,,,,,,,
Qwen 2.5 14B,,,,,,,,
DeepSeek 7B,,,,,,,,
Llama_nvfp4_no_pz,,0.9133688652038572,0.75046794052124,0.720868273925781,0.7891332351684568,0.8722607337951658,0.9843527519226072,
Llama_nvfp4_pz,,0.7869178497314451,0.7337404930114744,0.7347814285278318,0.768658801269531,0.8759080612182615,0.9900738441467284,
Llama_4over6_no_pz,,0.460243388366699,0.516792460632324,0.6314017021179197,0.7564312660217283,0.8351766311645505,0.9829093658447264,
