Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256
Qwen_ue5m3 + 4o6 + H,,0.1861540794372551,0.3153545379638665,0.452548694610595,0.6114103317260735,0.7776076316833489,1.0334565162658684,1.4944393157958975
Qwen_ue5m3 + 4o6 + PZ + H,,0.1861540794372551,0.3153545379638665,0.452548694610595,,,,
