,0.0001,0.0002,0.0003,0.0005,0.0007,0.001,0.0015,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.01,0.012,0.016,0.024,0.035
0.0,-0.0010099411010742,-1.8596649169921875e-05,0.0018153190612792,0.0034894943237304,0.0062289237976074,0.0182676315307617,,0.043135643005371,0.0845923423767089,0.1738843917846679,0.3075628280639648,0.5480055809020996,0.9279108047485352,1.5224647521972656,3.206470012664795,,,105417.21265649796,36533.48609399796
0.0001,,,,,,,,,,,,,,,,,,,
0.0002,,,,,,,,,,,,,,,,,,,
0.0003,,,,,,,,,,,,,,,,,,,
0.0005,,,,,,,,,,,,,,,,,,,
0.0007,,,,,,,,,,,,,,,,,,,
0.001,,,,,,,,,,,,,,,,,,,
0.0015,,,,,,,,,,,,,,,,,,,
0.002,,,,,,,,,,,,,,,,,,,
0.003,,,,,,,,,,,,,,,,,,,
0.004,,,,,,,,,,,,,,,,,,,
0.005,,,,,,,,,,,,,,,,,,,
0.006,,,,,,,,,,,,,,,,,,,
0.007,,,,,,,,,,,,,,,,,,,
0.008,,,,,,,,,,,,,,,,,,,
0.01,,,,,,,,,,,,,,,,,,,
0.012,,,,,,,,,,,,,,,,,,,
0.016,,,,,,,,,,,,,,,,,,,
0.024,,,,,,,,,,,,,,,,,,,
